noun	gender	count
banquet	m	45463
banquette	f	32669
banquier	m	67787
banquise	f	10861
banquière	f	680
bantou	m	694
bantoustan	m	751
baobab	m	6179
baoulé	m	620
baptisme	m	609
baptiste	m	756
baptistère	m	5367
baptisé	m	2932
baptême	m	103565
baquet	m	5847
bar	f	1497
bar	m	59655
baragouin	m	580
baraka	f	7005
baraque	f	30021
baraquement	m	4405
baratin	m	1115
barattage	m	590
baratte	f	2002
barbacane	f	1412
barbare	f	730
barbare	m	12830
barbarie	f	104470
barbarisme	m	2165
barbe	f	80122
barbeau	m	663
barbecue	m	2255
barbelé	m	1026
barbet	m	555
barbiche	f	3002
barbichette	f	1541
barbier	m	9387
barbon	m	1391
barbotine	f	1568
barbouillage	m	544
barbu	m	3866
barcarolle	f	510
barda	m	819
bardage	m	1733
barde	m	5524
bardeau	m	557
barge	f	6688
baril	m	24423
barillet	m	1912
bariolage	m	1078
barmaid	f	1040
barman	m	5879
baromètre	m	14569
baron	m	122108
baronne	f	24386
baronnie	f	11879
baroque	m	21082
baroquisme	m	1014
baroud	m	3033
baroudeur	m	1534
barque	f	69341
barquette	f	1146
barrage	m	86842
barre	f	229455
barreau	m	18509
barrette	f	4490
barreur	m	930
barriada	f	743
barricade	f	19292
barrio	m	973
barrique	f	6788
barrière	f	146703
barycentre	m	1000
baryte	f	605
barytine	f	901
baryton	m	3136
baryum	m	838
barème	m	32006
barême	m	1248
